updated_datetime;current_population
2022-06-30 12:49:48.624231;215,351,863
2022-07-01 12:53:20.695285;215,355,589
2022-07-02 12:37:48.186132;215,359,266
2022-07-03 12:38:24.207896;215,362,985
2022-07-04 12:48:05.415920;215,366,727
2022-07-05 12:49:28.315251;215,370,447
2022-07-06 12:52:41.264426;215,374,172
2022-07-07 12:50:24.791556;215,377,884
2022-07-08 12:50:21.463489;215,381,600
2022-07-09 12:41:43.567351;215,385,295
2022-07-10 12:38:58.236034;215,389,005
2022-07-11 12:56:40.522328;215,392,768
2022-07-12 12:52:31.537062;215,396,474
2022-07-13 12:45:45.753205;215,400,174
2022-07-14 12:48:22.671785;215,403,897
2022-07-15 12:52:16.542720;215,407,624
2022-07-16 12:39:11.497095;215,411,308
2022-07-17 12:41:21.626926;215,415,030
2022-07-18 12:48:23.053086;215,418,765
2022-07-19 12:49:10.930740;215,422,484
2022-07-20 12:48:56.386342;215,323,949
2022-07-21 12:50:20.900907;215,324,484
2022-07-22 12:47:30.569400;215,325,018
2022-07-23 12:40:35.473034;215,325,551
2022-07-25 01:12:22.999446;215,326,365
2022-07-25 12:50:19.582196;215,326,624
2022-07-26 12:49:23.424290;215,327,159
2022-07-27 12:52:04.449964;215,327,695
2022-07-28 12:53:20.021634;215,328,230
2022-07-29 12:51:29.666374;215,328,765
2022-07-30 12:38:45.200006;215,329,295
2022-07-31 12:41:31.239774;215,329,831
2022-08-01 12:50:13.440394;215,330,369
2022-08-02 12:51:45.904029;215,330,905
2022-08-03 12:50:26.246008;215,331,439
2022-08-04 12:47:29.128261;215,331,973
2022-08-05 12:49:47.768862;215,332,509
2022-08-06 12:38:58.592074;215,333,040
2022-08-07 12:39:47.173964;215,333,575
2022-08-08 12:49:36.182969;215,334,114
2022-08-09 12:51:45.100930;215,334,650
2022-08-10 12:44:49.805032;215,335,182
2022-08-11 12:49:51.890867;215,335,719
2022-08-12 12:46:08.356032;215,336,253
2022-08-13 12:39:05.822659;215,336,785
2022-08-14 12:40:24.785238;215,337,321
2022-08-15 12:50:49.535522;215,337,859
2022-08-16 12:42:53.003154;215,338,391
2022-08-17 12:53:05.861182;215,338,930
2022-08-18 12:52:29.985027;215,339,465
2022-08-19 12:46:06.255551;215,339,998
2022-08-20 12:40:26.212985;215,340,531
2022-08-21 12:39:48.798522;215,341,065
2022-08-22 12:48:51.045181;215,341,604
2022-08-23 12:47:13.648178;215,342,138
2022-08-24 12:47:26.415511;215,342,673
2022-08-25 12:48:03.867678;215,343,208
2022-08-26 12:47:12.363092;215,343,743
2022-08-27 17:01:45.390639;215,344,373
2022-08-28 12:40:48.613722;215,344,811
2022-08-29 12:50:44.854271;215,345,349
2022-08-30 12:53:30.023862;215,475,556
2022-08-31 12:52:15.484389;215,478,231
2022-09-01 12:49:29.128055;215,480,902
2022-09-02 12:47:41.997903;215,483,576
2022-09-03 12:41:15.866007;215,486,241
2022-09-04 12:45:24.403309;215,488,926
2022-09-05 12:48:25.188946;215,491,608
2022-09-06 12:52:04.551940;215,494,292
2022-09-07 12:54:41.861788;215,496,974
2022-09-08 12:49:24.681497;215,499,641
2022-09-09 12:54:06.515802;215,502,327
2022-09-10 12:44:46.908922;215,504,987
2022-09-11 12:45:52.749370;215,507,666
2022-09-12 12:55:28.226320;215,510,361
2022-09-13 12:54:18.530931;215,513,035
2022-09-14 12:53:46.308715;215,515,711
2022-09-15 12:57:06.668521;215,518,395
2022-09-16 12:50:18.523764;215,521,059
2022-09-17 12:45:16.350613;215,523,727
2022-09-18 12:47:27.651828;215,526,408
2022-09-19 12:55:33.275804;215,529,100
2022-09-20 12:53:12.602773;215,531,772
2022-09-21 12:56:51.651110;215,534,456
2022-09-22 12:54:05.151332;215,537,128
2022-09-23 12:52:07.483368;215,539,801
2022-09-24 12:48:39.250112;215,542,472
2022-09-25 12:47:34.020769;215,545,147
2022-09-26 12:56:37.314157;215,547,841
2022-09-27 12:56:51.336745;215,550,518
2022-09-28 12:54:27.860470;215,553,191
2022-09-29 12:55:39.528711;215,555,870
2022-09-30 12:59:40.446371;215,558,554
2022-10-01 12:51:11.919377;215,561,216
2022-10-02 12:50:35.816286;215,563,892
2022-10-03 12:57:21.952261;215,566,581
2022-10-04 13:00:44.852757;215,569,264
2022-10-05 13:01:01.557245;215,571,942
2022-10-06 12:58:12.607935;215,574,614
2022-10-07 12:58:47.803994;215,577,292
2022-10-08 12:50:13.518976;215,579,953
2022-10-09 12:50:13.667627;215,582,630
2022-10-10 13:00:52.706144;215,585,327
2022-10-11 12:21:23.587200;215,587,930
2022-10-12 12:20:51.735783;215,590,606
2022-10-13 12:20:19.200046;215,593,282
2022-10-14 12:21:34.699088;215,595,962
2022-10-15 12:19:09.310402;215,598,634
